Object, Count, Frequency
exclaimed Natasha., 3, 0.00008731
Splendid!, 3, 0.00008731
he asked again., 3, 0.00008731
Very good!, 3, 0.00008731
No, no!, 3, 0.00008731
What then?, 3, 0.00008731
Well, what is it?, 3, 0.00008731
Heavens!, 3, 0.00008731
Yes, yes, assented Pierre., 3, 0.00008731
There, you see?, 3, 0.00008731
Come in, come in!, 3, 0.00008731
Bolkonski!, 3, 0.00008731
asked Napoleon., 3, 0.00008731
She paused., 3, 0.00008731
Blackguards!, 3, 0.00008731
Oh, yes!, 3, 0.00008731
asked Bolkonski., 3, 0.00008731
he asked himself., 3, 0.00008731
Dieu sait quand reviendra., 3, 0.00008731
Board them!, 3, 0.00008731
said the prince., 3, 0.00008731
Just look!, 3, 0.00008731
Andrew!, 3, 0.00008731
said Denisov., 3, 0.00008731
Soldiers!, 3, 0.00008731
What are you up to?, 3, 0.00008731
cried another., 3, 0.00008731
Mon Dieu!, 3, 0.00008731
Natasha., 3, 0.00008731
I command it., 3, 0.00008731
Ha-ha-ha!, 3, 0.00008731
asked Petya., 3, 0.00008731
said Napoleon., 3, 0.00008731
And why?, 3, 0.00008731
ha!, 3, 0.00008731
Why are you going?, 3, 0.00008731
Dear, dear!, 3, 0.00008731
How splendid!, 3, 0.00008731
she whispered., 3, 0.00008731
Ah, here she is!, 3, 0.00008731
He's coming!, 3, 0.00008731
he asked Denisov., 3, 0.00008731
Well!, 3, 0.00008731
said Anna Pavlovna., 3, 0.00008731
They were silent for a while., 3, 0.00008731
Oo., 3, 0.00008731
What do you mean?, 3, 0.00008731
Where are you going?, 3, 0.00008731
Forgive me!, 3, 0.00008731
What does this mean?, 3, 0.00008731
Duport!, 3, 0.00008731
What am I to do?, 3, 0.00008731
S., 3, 0.00008731
asked Sonya., 3, 0.00008731
Go to the devil!, 3, 0.00008731
Look!, 3, 0.00008731
Mummy!, 3, 0.00008731
Come along!, 3, 0.00008731
Of course., 3, 0.00008731
Bad!, 3, 0.00008731
Where to?, 3, 0.00008731
Don't talk nonsense!, 3, 0.00008731
I love you., 3, 0.00008731
What did you say?, 3, 0.00008731
Aide-de-camp!, 3, 0.00008731
Well, how are you?, 3, 0.00008731
he began., 3, 0.00008731
Come!, 3, 0.00008731
What's to be done?, 3, 0.00008731
Impossible!, 3, 0.00008731
Ah, yes!, 3, 0.00008731
Of course not!, 3, 0.00008731
No?, 3, 0.00008731
Where is she?, 3, 0.00008731
Who's that?, 3, 0.00008731
So much the better!, 3, 0.00008731
asked Denisov., 3, 0.00008731
How d'ye do?, 3, 0.00008731
said Marya Dmitrievna., 3, 0.00008731
Now then!, 3, 0.00008731
exclaimed Rostov., 3, 0.00008731
Oh dear!, 3, 0.00008731
Au revoir!, 3, 0.00008731
Don't, Natasha!, 3, 0.00008731
he said to himself., 3, 0.00008731
All right, all right!, 3, 0.00008731
Directly!, 3, 0.00008731
Back!, 3, 0.00008731
Are you ill?, 3, 0.00008731
Don't you think so?, 3, 0.00008731
he says., 2, 0.00005820
Yes, that's it!, 2, 0.00005820
Buonaparte?, 2, 0.00005820
Fine fellows!, 2, 0.00005820
Pass on, pass on!, 2, 0.00005820
Oh, how fine, how splendid!, 2, 0.00005820
That's not right!, 2, 0.00005820
We don't agree., 2, 0.00005820
shouted one., 2, 0.00005820
remarked one., 2, 0.00005820
those., 2, 0.00005820
asked Vera., 2, 0.00005820
Prince Andrew smiled., 2, 0.00005820
Who are they?, 2, 0.00005820
said the little man., 2, 0.00005820
General Campan will move through the wood to seize the first fortification., 2, 0.00005820
Tea!, 2, 0.00005820
What has happened to her?, 2, 0.00005820
Why so?, 2, 0.00005820
Good night!, 2, 0.00005820
Tell me., 2, 0.00005820
asked he., 2, 0.00005820
No, no., 2, 0.00005820
Both were silent., 2, 0.00005820
cried Pierre., 2, 0.00005820
How fortunate!, 2, 0.00005820
Nikolenka., 2, 0.00005820
Where am I?, 2, 0.00005820
Very glad!, 2, 0.00005820
That's the way., 2, 0.00005820
Isn't it?, 2, 0.00005820
Devil take you!, 2, 0.00005820
Into action!, 2, 0.00005820
Pierre interrupted him., 2, 0.00005820
What am I doing?, 2, 0.00005820
Very well, very well!, 2, 0.00005820
Idiot!, 2, 0.00005820
Your offer., 2, 0.00005820
What was it?, 2, 0.00005820
he concluded., 2, 0.00005820
What force!, 2, 0.00005820
he wondered., 2, 0.00005820
That is what we shall see!, 2, 0.00005820
Go., 2, 0.00005820
What I say is:, 2, 0.00005820
Speak!, 2, 0.00005820
Gracious heavens!, 2, 0.00005820
A fine lad!, 2, 0.00005820
Oh no!, 2, 0.00005820
Ulyulyulyu!, 2, 0.00005820
said Karataev., 2, 0.00005820
What people are these?, 2, 0.00005820
Well, Mamma?, 2, 0.00005820
You?, 2, 0.00005820
said the doctor., 2, 0.00005820
ho!, 2, 0.00005820
Everything:, 2, 0.00005820
they say., 2, 0.00005820
And you?, 2, 0.00005820
He replied., 2, 0.00005820
Pierre!, 2, 0.00005820
To the health of our Sovereign, the Emperor!, 2, 0.00005820
Where is he now?, 2, 0.00005820
In a minute!, 2, 0.00005820
cried Anatole., 2, 0.00005820
O Lord, O Lord!, 2, 0.00005820
she murmured., 2, 0.00005820
What does it mean?, 2, 0.00005820
Clear that away!, 2, 0.00005820
I don't know how to put it., 2, 0.00005820
He swayed his head., 2, 0.00005820
Who is it?, 2, 0.00005820
For heaven's sake., 2, 0.00005820
I am very glad., 2, 0.00005820
Traitors!, 2, 0.00005820
Why doesn't he come to the house?, 2, 0.00005820
Where are we?, 2, 0.00005820
You say:, 2, 0.00005820
Impudence!, 2, 0.00005820
One., 2, 0.00005820
Whew., 2, 0.00005820
George's Cross., 2, 0.00005820
How., 2, 0.00005820
Hurrah-ah-ah!, 2, 0.00005820
said Tushin., 2, 0.00005820
How beautiful she is!, 2, 0.00005820
thought she., 2, 0.00005820
said Bolkonski., 2, 0.00005820
Look out!, 2, 0.00005820
Cut him down!, 2, 0.00005820
I'll do it., 2, 0.00005820
Get on!, 2, 0.00005820
Tomorrow., 2, 0.00005820
Ah., 2, 0.00005820
Killed!, 2, 0.00005820
Have a drink!, 2, 0.00005820
He?, 2, 0.00005820
Women's fuss!, 2, 0.00005820
How much longer?, 2, 0.00005820
Is that right?, 2, 0.00005820
What., 2, 0.00005820
asked Alpatych., 2, 0.00005820
M., 2, 0.00005820
What sweets are we going to have?, 2, 0.00005820
Excuse me!, 2, 0.00005820
I must., 2, 0.00005820
Tproo!, 2, 0.00005820
whew., 2, 0.00005820
Hullo there!, 2, 0.00005820
They're coming!, 2, 0.00005820
Do you speak French?, 2, 0.00005820
Who told you that?, 2, 0.00005820
Thanks, thanks!, 2, 0.00005820
Do you know her?, 2, 0.00005820
A very good morning!, 2, 0.00005820
Good morning, Uncle!, 2, 0.00005820
Fr., 2, 0.00005820
said the major., 2, 0.00005820
I was forgetting., 2, 0.00005820
I am glad., 2, 0.00005820
Pierre asked himself., 2, 0.00005820
That's it--come on!, 2, 0.00005820
But don't hurt my little horse!, 2, 0.00005820
From whom?, 2, 0.00005820
The Pavlograd hussars?, 2, 0.00005820
But where is it?, 2, 0.00005820
Don't you understand?, 2, 0.00005820
Announce me., 2, 0.00005820
Why talk nonsense?, 2, 0.00005820
But how?, 2, 0.00005820
What does she want?, 2, 0.00005820
Do you like him?, 2, 0.00005820
How lovely!, 2, 0.00005820
Wait a bit., 2, 0.00005820
And who is that?, 2, 0.00005820
Don't!, 2, 0.00005820
said Mademoiselle Bourienne., 2, 0.00005820
Come along then!, 2, 0.00005820
asked the doctor., 2, 0.00005820
Oh, yes., 2, 0.00005820
forgive!, 2, 0.00005820
Telyanin!, 2, 0.00005820
Cousinhood is a dangerous neighborhood., 2, 0.00005820
Well, and you?, 2, 0.00005820
Prince Vasili rose., 2, 0.00005820
I'll go, said Sonya., 2, 0.00005820
What are you doing?, 2, 0.00005820
Dearest., 2, 0.00005820
Sonya smiled., 2, 0.00005820
Oh, no, no!, 2, 0.00005820
Do you know?, 2, 0.00005820
What are you about?, 2, 0.00005820
Madame de Genlis!, 2, 0.00005820
said he to himself., 2, 0.00005820
Shut up!, 2, 0.00005820
How is that?, 2, 0.00005820
and Countess Apraksina., 2, 0.00005820
Come here!, 2, 0.00005820
Pierre considered., 2, 0.00005820
To whom?, 2, 0.00005820
Lord Jesus Christ, holy Saint Nicholas, Frola and Lavra!, 2, 0.00005820
That's not the point., 2, 0.00005820
It's not true!, 2, 0.00005820
I have., 2, 0.00005820
Here!, 2, 0.00005820
You have seen?, 2, 0.00005820
Help me!, 2, 0.00005820
Prince Andrew repeated., 2, 0.00005820
Dear one!, 2, 0.00005820
Look here!, 2, 0.00005820
Good!, 2, 0.00005820
Natasha interrupted him., 2, 0.00005820
shouted Rostopchin., 2, 0.00005820
asked Nesvitski., 2, 0.00005820
There they are., 2, 0.00005820
I, I., 2, 0.00005820
Don't you hear?, 2, 0.00005820
Ah, my friend!, 2, 0.00005820
It can't be helped!, 2, 0.00005820
thank you!, 2, 0.00005820
A petition?, 2, 0.00005820
Well, my dear?, 2, 0.00005820
And I?, 2, 0.00005820
shall rise., 2, 0.00005820
Christ be with you!, 2, 0.00005820
What is the matter?, 2, 0.00005820
Brigand!, 2, 0.00005820
you., 2, 0.00005820
What is power?, 2, 0.00005820
Go away., 2, 0.00005820
Pierre asked., 2, 0.00005820
He has spoken?, 2, 0.00005820
My darling!, 2, 0.00005820
ah!, 2, 0.00005820
What are you waiting for?, 2, 0.00005820
What brings you here?, 2, 0.00005820
Why ask me?, 2, 0.00005820
It's all nonsense!, 2, 0.00005820
said Rostov laughing., 2, 0.00005820
Well, thank God!, 2, 0.00005820
For me?, 2, 0.00005820
You thought!, 2, 0.00005820
You remember?, 2, 0.00005820
Is that true?, 2, 0.00005820
Mary!, 2, 0.00005820
Please., 2, 0.00005820
I am used to something sweet., 2, 0.00005820
Now listen!, 2, 0.00005820
The purse was not there., 2, 0.00005820
she replied., 2, 0.00005820
Oh, how lovely!, 2, 0.00005820
Do you hear?, 2, 0.00005820
thought the princess., 2, 0.00005820
she added., 2, 0.00005820
Done for!, 2, 0.00005820
Please do!, 2, 0.00005820
What business is it of yours?, 2, 0.00005820
Excellent!, 2, 0.00005820
One, two, three., 2, 0.00005820
asked the count., 2, 0.00005820
May I?, 2, 0.00005820
len., 2, 0.00005820
he continued., 2, 0.00005820
He began to laugh., 2, 0.00005820
cried Rostov., 2, 0.00005820
Delighted to see you., 2, 0.00005820
cried Petya., 2, 0.00005820
Where are you shoving to?, 2, 0.00005820
your excellency., 2, 0.00005820
I know., 2, 0.00005820
Puff!, 2, 0.00005820
was heard on all sides., 2, 0.00005820
O God!, 2, 0.00005820
said he to Denisov., 2, 0.00005820
Why don't you speak?, 2, 0.00005820
What next?, 2, 0.00005820
Enough!, 2, 0.00005820
We shall see!, 2, 0.00005820
What a heart!, 2, 0.00005820
Schon gut Morgen!, 2, 0.00005820
But that's not the point., 2, 0.00005820
Again!, 2, 0.00005820
Well, good-by!, 2, 0.00005820
Come, come!, 2, 0.00005820
What has been decided?, 2, 0.00005820
wounded., 2, 0.00005820
Scoundrels!, 2, 0.00005820
Natalie?, 2, 0.00005820
Where's the Elder?, 2, 0.00005820
Well, of course, of course!, 2, 0.00005820
Oh, Natasha!, 2, 0.00005820
How am I?, 2, 0.00005820
Ah, God!, 2, 0.00005820
said Alpatych., 2, 0.00005820
That's all., 2, 0.00005820
But if I want to., 2, 0.00005820
shouted Petya., 2, 0.00005820
Pierre inquired., 2, 0.00005820
Oh, ooh!, 2, 0.00005820
If only he lives!, 2, 0.00005820
Rostov!, 2, 0.00005820
That's right!, 2, 0.00005820
Delightful!, 2, 0.00005820
no., 2, 0.00005820
Do you remember?, 2, 0.00005820
Who was that?, 2, 0.00005820
yes., 2, 0.00005820
The Emperor?, 2, 0.00005820
Well, what then?, 2, 0.00005820
See!, 2, 0.00005820
whew!, 2, 0.00005820
Ah, it's you!, 2, 0.00005820
Look sharp!, 2, 0.00005820
said the captain., 2, 0.00005820
asked Dolokhov., 2, 0.00005820
As you please., 2, 0.00005820
That's bad!, 2, 0.00005820
Wonderful!, 2, 0.00005820
What's the matter with you?, 2, 0.00005820
What does that mean?, 2, 0.00005820
Get along!, 2, 0.00005820
he suddenly cried., 2, 0.00005820
I should think so!, 2, 0.00005820
fr., 2, 0.00005820
What can I do?, 2, 0.00005820
For God's sake., 2, 0.00005820
remarked the countess., 2, 0.00005820
What's it all about?, 2, 0.00005820
Dear-est!, 2, 0.00005820
God grant it!, 2, 0.00005820
Is this your saber?, 2, 0.00005820
Where is it?, 2, 0.00005820
You see!, 2, 0.00005820
Go on, go on., 2, 0.00005820
I love him!, 2, 0.00005820
Why do you say that?, 2, 0.00005820
The case is this:, 2, 0.00005820
Forever?, 2, 0.00005820
It's fine!, 2, 0.00005820
Really!, 2, 0.00005820
Do you understand?, 2, 0.00005820
Prince Andrew went out., 2, 0.00005820
He took her hand and kissed it., 2, 0.00005820
How did you get here?, 2, 0.00005820
Prince Michael Ilarionovich!, 2, 0.00005820
Peter Kirilovich, come here!, 2, 0.00005820
They want more!, 2, 0.00005820
you know., 2, 0.00005820
Women, women!, 2, 0.00005820
You must come., 2, 0.00005820
Wait!, 2, 0.00005820
Oh, you fool!, 2, 0.00005820
Lise!, 2, 0.00005820
Nicholas., 2, 0.00005820
It was Prince Andrew., 2, 0.00005820
Oh mio crudele affetto., 2, 0.00005820
She said., 2, 0.00005820
What does it all mean?, 2, 0.00005820
What are you pushing for?, 2, 0.00005820
What about?, 2, 0.00005820
Why too much?, 2, 0.00005820
There he is!, 2, 0.00005820
and S., 2, 0.00005820
What a style!, 2, 0.00005820
I know!, 2, 0.00005820
All wight!, 2, 0.00005820
Lord God of might, God of our salvation!, 2, 0.00005820
You think so?, 2, 0.00005820
I thank you all!, 2, 0.00005820
Good-bye, my dear fellow., 2, 0.00005820
Yes, your excellency., 2, 0.00005820
Suvorov!, 2, 0.00005820
What a calamity!, 2, 0.00005820
she began., 2, 0.00005820
Adorable!, 2, 0.00005820
The horses were brought., 2, 0.00005820
How?, 2, 0.00005820
Alley!, 2, 0.00005820
said Helene., 2, 0.00005820
said one of them., 2, 0.00005820
And who are you?, 2, 0.00005820
Is it possible?, 2, 0.00005820
There now., 2, 0.00005820
he said to Pierre., 2, 0.00005820
ate., 2, 0.00005820
Angel!, 2, 0.00005820
Stop, stop!, 2, 0.00005820
No one replied., 2, 0.00005820
I dare say!, 2, 0.00005820
Fine young fellow!, 2, 0.00005820
CHAPTER XVI  In April the troops were enlivened by news of the Emperor's arrival, but Rostov had no chance of being present at the review he held at Bartenstein, as the Pavlograds were at the outposts far beyond that place., 1, 0.00002910
In a word, I make no promise., 1, 0.00002910
He remembered his mother's last letter., 1, 0.00002910
Pierre was seized by a sense of horror and repulsion such as he had experienced when touching some nasty little animal., 1, 0.00002910
They don't themselves know what they are doing!, 1, 0.00002910
And evidently suppressing his vexation with difficulty, he turned away from the boy., 1, 0.00002910
But it is I, above all, who am to blame for everything., 1, 0.00002910
Dronushka, she said, regarding as a sure friend this Dronushka who always used to bring a special kind of gingerbread from his visit to the fair at Vyazma every year and smilingly offer it to her, Dronushka, now since our misfortune., 1, 0.00002910
For Thou art the defense, the succor, and the victory of them that put their trust in Thee, and to Thee be all glory, to Father, Son, and Holy Ghost, now and forever, world without end., 1, 0.00002910
This is the battle of Pultusk, which is considered a great victory but in my opinion was nothing of the kind., 1, 0.00002910
Had Speranski sprung from the same class as himself and possessed the same breeding and traditions, Bolkonski would soon have discovered his weak, human, unheroic sides; but as it was, Speranski's strange and logical turn of mind inspired him with respect all the more because he did not quite understand him., 1, 0.00002910
His emaciated young face, disfigured by the half-shaven head, hung down hopelessly., 1, 0.00002910
To whom shall it be given?, 1, 0.00002910
There were about thirty officers, with Pierre among them, and about three hundred men., 1, 0.00002910
The count walked up and down the hall in his dressing gown, giving orders to the club steward and to the famous Feoktist, the club's head cook, about asparagus, fresh cucumbers, strawberries, veal, and fish for this dinner., 1, 0.00002910
said he to Kozlovski., 1, 0.00002910
But I want., 1, 0.00002910
Uncle rose, and it was as if there were two men in him:, 1, 0.00002910
Can I see him--can I?, 1, 0.00002910
If you only knew what those society women are, and women in general!, 1, 0.00002910
Princess Mary listened without understanding him; she led him to the house, offered him lunch, and sat down with him., 1, 0.00002910
He cannot endure the notion that Buonaparte is negotiating on equal terms with all the sovereigns of Europe and particularly with our own, the grandson of the Great Catherine!, 1, 0.00002910
That day Prince Vasili no longer boasted of his protege Kutuzov, but remained silent when the commander-in-chief was mentioned., 1, 0.00002910
Fine, isn't it?, 1, 0.00002910
After the advance has begun in this manner, orders will be given in accordance with the enemy's movements., 1, 0.00002910
Kindly do as you are ordered., 1, 0.00002910
It would be a mistake to think that this is ironic--a caricature of the historical accounts., 1, 0.00002910
Not finding the young prince in his study the valet went with the letters to Princess Mary's apartments, but did not find him there., 1, 0.00002910
She was, as always at evening parties, wearing a dress such as was then fashionable, cut very low at front and back., 1, 0.00002910
Now and then they glanced at one another, hardly able to suppress their laughter., 1, 0.00002910
they said of him., 1, 0.00002910
Among the gentry of the province Nicholas was respected but not liked., 1, 0.00002910
Those ideas were stolen from me., 1, 0.00002910
The Emperors exchanged decorations:, 1, 0.00002910
Another man says the locomotive moves because its wheels go round., 1, 0.00002910
a superior officer perhaps., 1, 0.00002910
Now, what are you pestewing me for?, 1, 0.00002910
His sleeves were rolled up and his sinewy, hairy, red hands with their short fingers deftly turned the ramrod., 1, 0.00002910
From all the windows of the streets through which he rode, rugs, flags, and his monogram were displayed, and the Polish ladies, welcoming him, waved their handkerchiefs to him., 1, 0.00002910
Second platoon!, 1, 0.00002910
It was impossible for him to travel, it would not do to let him die on the road., 1, 0.00002910
moved the chair on which he was sitting noisily backward and forward, made efforts to control himself and not become vehement, but almost always did become vehement, scolded, and sometimes flung the exercise book away., 1, 0.00002910
Before partisan warfare had been officially recognized by the government, thousands of enemy stragglers, marauders, and foragers had been destroyed by the Cossacks and the peasants, who killed them off as instinctively as dogs worry a stray mad dog to death., 1, 0.00002910
How so, my pet?, 1, 0.00002910
He was a very handsome young man, of medium height, with firm, clearcut features., 1, 0.00002910
I'm quite worn out by these callers., 1, 0.00002910
And these simple words, her look, and the expression on her face which accompanied them, formed for two months the subject of inexhaustible memories, interpretations, and happy meditations for Pierre., 1, 0.00002910
It was as if the thread of the chief screw which held his life together were stripped, so that the screw could not get in or out, but went on turning uselessly in the same place., 1, 0.00002910
This unpleasant impression merely flitted over the young and happy face of the Emperor like a cloud of haze across a clear sky and vanished., 1, 0.00002910
Till then he had reproached her in his heart and tried to despise her, but he now felt so sorry for her that there was no room in his soul for reproach., 1, 0.00002910
The very question that had formerly tormented him, the thing he had continually sought to find--the aim of life--no longer existed for him now., 1, 0.00002910
A wife for counsel, a mother-in-law for welcome, but there's none as dear as one's own mother!, 1, 0.00002910
What could he have done to me?, 1, 0.00002910
He shrugged his shoulders., 1, 0.00002910
Pierre went with Anna Mikhaylovna into the small drawing room., 1, 0.00002910
Several French officers superintended the placing of the guns and looked at the Kremlin through field glasses., 1, 0.00002910
added he, addressing the Englishman., 1, 0.00002910
And why the deuce are we going to fight Bonaparte?, 1, 0.00002910
She did not seem at all like a girl in love and parted from her affianced husband., 1, 0.00002910
Only by watching closely moment by moment the movement of that flow and comparing it with the movement of the ship do we convince ourselves that every bit of it is occasioned by the forward movement of the ship, and that we were led into error by the fact that we ourselves were imperceptibly moving., 1, 0.00002910
He told her of external social events and of the people who had formed the circle of her contemporaries and had once been a real, living, and distinct group, but who were now for the most part scattered about the world and like herself were garnering the last ears of the harvests they had sown in earlier years., 1, 0.00002910
The love of death., 1, 0.00002910
The party was very successful and quite like other parties he had seen., 1, 0.00002910
There now, Sidorov!, 1, 0.00002910
For the Minister is leading these visitors after him to Moscow in a most masterly way., 1, 0.00002910
Having been taken prisoner and allowed his beard to grow, he seemed to have thrown off all that had been forced upon him--everything military and alien to himself--and had returned to his former peasant habits., 1, 0.00002910
Now then, all together--shove!, 1, 0.00002910
Everything her father did inspired her with reverence and was beyond question., 1, 0.00002910
inquired Prince Andrew impatiently., 1, 0.00002910
Since then she had not seen him., 1, 0.00002910
From the twenty-eighth till the thirty-first all Moscow was in a bustle and commotion., 1, 0.00002910
Always busy, replied Michael Ivanovich with a respectfully ironic smile which caused Princess Mary to turn pale., 1, 0.00002910
I see that I am repulsive to him, especially when I am in this condition., 1, 0.00002910
About Prince Michael., 1, 0.00002910
While Dolokhov had been disputing with Denisov what should be done with prisoners, Petya had once more felt awkward and restless; but again he had no time to grasp fully what they were talking about., 1, 0.00002910
Oh, Heaven!, 1, 0.00002910
he said--a word he had never used to her before., 1, 0.00002910
Napoleon made ironic remarks during Fabvier's account, as if he had not expected that matters could go otherwise in his absence., 1, 0.00002910
High time, my dear, high time!, 1, 0.00002910
Just as Boris' leave of absence was expiring, Anatole Kuragin made his appearance in Moscow, and of course in the Karagins' drawing room, and Julie, suddenly abandoning her melancholy, became cheerful and very attentive to Kuragin., 1, 0.00002910
Just then Petya came running in from the drawing room., 1, 0.00002910
Now in Petersburg, having considered the Rostovs' position and his own, he decided that the time had come to propose., 1, 0.00002910
He could not do that., 1, 0.00002910
I know myself that one cannot help one's sympathies and antipathies, thought Prince Andrew, so it will not do to present my proposal for the reform of the army regulations to the Emperor personally, but the project will speak for itself., 1, 0.00002910
However tempting it might be for the French to blame Rostopchin's ferocity and for Russians to blame the scoundrel Bonaparte, or later on to place an heroic torch in the hands of their own people, it is impossible not to see that there could be no such direct cause of the fire, for Moscow had to burn as every village, factory, or house must burn which is left by its owners and in which strangers are allowed to live and cook their porridge., 1, 0.00002910
Her dresses were always of the latest fashion., 1, 0.00002910
As always happens the men, starting cheerfully, began to halt; murmurs were heard, there was a sense of confusion, and finally a backward movement., 1, 0.00002910
It is settled, she added in a low voice., 1, 0.00002910
Not a bit!, 1, 0.00002910
my dear!, 1, 0.00002910
And the adjutant galloped through the forest after Grekov., 1, 0.00002910
Then you do not think, like some others, that we must retreat?, 1, 0.00002910
Karataev had told it to him alone some half-dozen times and always with a specially joyful emotion., 1, 0.00002910
They used to gobble the same food as the gentry., 1, 0.00002910
Pierre gradually began to recover himself and looked about at the room and at the people in it., 1, 0.00002910
Turn back with your slut!, 1, 0.00002910
And again he twisted the screw with the stripped thread, and again it turned uselessly in the same place., 1, 0.00002910
shouted Nicholas, banging the table--very little to the point as it seemed to his listeners, but quite relevantly to the course of his own thoughts., 1, 0.00002910
Yes, I am well, he said in answer to Pierre's question, and smiled., 1, 0.00002910
The sounds of both packs mingled and broke apart again, but both were becoming more distant., 1, 0.00002910
Prince Repnin named Lieutenant Sukhtelen., 1, 0.00002910
It seemed to Petya that at the moment the shot was fired it suddenly became as bright as noon., 1, 0.00002910
Everyone in the house realized for whose sake Prince Andrew came, and without concealing it he tried to be with Natasha all day., 1, 0.00002910
What can one say about it?, 1, 0.00002910
I wished to ask the countess and you to do me the honor of coming to tea and to supper., 1, 0.00002910
Dunyasha, she whispered., 1, 0.00002910
We have recognized you, he now seemed to hear the words she had uttered and to see before him her eyes, her smile, her traveling hood, and a stray lock of her hair., 1, 0.00002910
His looks thanked her for offering him his freedom and told her that one way or another he would never cease to love her, for that would be impossible., 1, 0.00002910
